Word,Meaning,Synonyms,Sentences
Lambaste,"Meaning
To thrash verbally or physically.","Excoriate
Castigate
Rebuke
Reprimand
Reproach
Tongue-lash","Sentences
They wrote several letters lambasting the new law."
Languid,"Meaning
Drooping or flagging from or as if from exhaustion.
Lacking force or quickness of movement.","Lackadaisical
Enervated
Languorous
Slow
Listless
Weak","Sentences
The entire film is like a lazy, languid ballad performed by an ensemble of masters.
They proceeded at a languid pace.
It was a hot, languid summer day."
Languor,"Meaning
Weakness or weariness of body or mind.
Listless indolence or inertia.","Lackadaisical
Languid
Lassitude
Stupor
Lethargy","Sentences
Everything is always drenched in heavy yellow sunlight, as if the nation were basking in the languor of eternal late afternoon."
Lascivious,"Meaning
Filled with or showing sexual desire.","Lewd
Salacious","Sentences
Making lascivious remarks to a coworker is utterly disrespectful and unprofessional."
Lassitude,"Meaning
A condition of weariness and lethargy.","Fatigue
Burnout
Torpor
Languor","Sentences
Symptoms of the disease include paleness and lassitude."
Levee,"Meaning
A reception usually in honor of a particular person.
An embankment for preventing flooding.",,
Levity,"Meaning
Excessive or unseemly frivolity.
Light manner or attitude.",,"Sentences
She would tolerate no levity in the classroom."
Lewd,"Meaning
Obscene
Vulgar","Lascivious","Sentences
They made lewd remarks to a man at the bar."
Lexicon,"Meaning
Dictionary
Repertoire, inventory",,"Sentences
This is a computer term that has entered the general lexicon."
Liberal,"Meaning
In excess
People who support new, different, progressive, explorative and experimental policies.",,
Libertine,"Meaning
A person who is unrestrained by convention or morality.","Debaucher
Debauchee
Decadent","Sentences
The legend of Don Juan depicts him as a playboy and libertine."
Libido,"Meaning
Sexual drive.",,"Sentences
The drug was used to increase libido."
Limn,"Meaning
To draw or paint on a surface.
Describe","Delineate","Sentences
He was limned by a streetlight."
Limpid,"Meaning
Clear and simple in style.
Marked by transparency.
Absolutely serene and untroubled.",,"Sentences
We saw a lot of limpid streams.
Hussein Nasser’s limpid presentation style makes concepts easy to understand."
Litany,"Meaning
A resonant or repetitive chant.
A sizable series or set.",,"Sentences
The drug has a litany of possible side effects.
A litany of cheering phrases.
A familiar litany of complaints."
Litigation,"Meaning
The act, process or practice of settling a dispute in a court of law.",,"Sentences
An attorney who specializes in the litigation of property disputes.
One can’t realize how much it costs to run one of these litigations. To get a battery of lawyers into a courtroom and do all the planning costs a lot of money."
Lucid,"Meaning
Clear to the understanding.
Translucent
Having full use of one’s faculties.","Sane
Intelligible
Incandescent
Unequivocal","Sentences
His lucid history of this grim subject is scrupulously accurate."
Lucre,"Meaning
Monetary gains",,"Sentences
His books share a common theme of lucre."
Ludicrous,"Meaning
Laughably stupid
Unreasonable","Ridiculous
Preposterous
Inane",
Lugubrious,"Meaning
Mournful
Dismal","Bleak
Saturnine
Stygian
Morose
Somber","Sentences
A comic actor known for their lugubrious manner.
Every episode from there got longer and more lugubrious, weighed down by franchise canon and relentless plot incident."
Machiavellian,"Meaning
Marked by cunning, duplicity (double-dealing) or bad faith.","Unethical
Unscrupulous
Crafty","Sentences
There was a Machiavellian battle for control of the company."
Machination,"Meaning
A scheming or crafty action or artful design intended to accomplish some usually evil end.","Plot
Scheme
Conspiracy","Sentences
Incredibly complicated machinations to assassinate the president that inevitably failed."
Magnum opus,"Meaning
A great work","Chef d’oeuvre","Sentences
The sculptor worked for 15 years on her magnum opus."
Maladroit,"Meaning
Inept","Clumsy","Sentences
The Governor has been criticized for her maladroit handling of the budget crisis."
Malapropism,"Meaning
The usually unintentionally humorous misuse or distortion of a word or phrase.",,"Sentences
Every kid is a virtuoso of language: those monkey-hear toddler approximations, a six-year-old’s idiosyncratic pronunciations, the malapropisms that continue well into adolescence."
Malignant,"Meaning
Tending to produce death or deterioration.
Evil in nature, influence or effect.","Malevolent
Mean
Spiteful","Sentences
A highly malignant form of cancer.
She had a powerful and malignant influence."
Malinger,"Meaning
To pretend or exaggerate incapacity or illness to avoid duty or work.
Don’t confuse 'malinger' with 'maligner'.",,"Sentences
They suspect that she malingered or faked her physical state and got admitted to a hospital to avoid going to jail."
Martinet,"Meaning
A fanatic of following discipline.
Stickler for form and ettiquette.","Punctilious
Pedant",
Maudlin,"Meaning
A person who cries easily and without much reason.
Over sentimental
Drinking can lead to this as well.",,
Maverick,"Meaning
An independent individual who does not go along with a group or party.","Iconoclastic","Sentences
Once dismissed as a provincial maverick with a penchant for picking fights and wearing outrageous Carnival costumes, she was catapulted onto the national stage last year."
Menagerie,"Meaning
A collection of wild or foreign animals kept especially for exhibition.
A varied mixture.","Miscellany","Sentences
A menagerie of rare creatures.
A menagerie of grotesque statues stood in the garden."
Mendacious,"Meaning
Dishonest
Antonym: Veracious","Deceitful","Sentences
She was accused of enabling an incompetent and mendacious President."
Mendicant,"Meaning
Beggar",,"Sentences
The wretched mendicants on the streets of Calcutta."
Meretricious,"Meaning
Appearing attractive, but of little or no value.
Do not confuse 'meretricious' with 'meritocracy'.","Gaudy
Flashy
Ostentatious","Sentences
Meretricious relationships rarely end up being happy ones."
Meringue,"Meaning
A dessert
Pleasant, soothing, energetic, full of life",,"Sentences
Selena spoke in a surprisingly low and laconic register, the opposite of the breathy meringue of her singing voice."
Meritocracy,"Meaning
A system in which people are moved into power or are accepted into something based on their merit and abilities.
Do not confuse 'meritocracy' with 'meretricious'.",,
Metastasis,"Meaning
Change of position, state or form.
The spread of a disease-producing agency (such as cancer cells) from the initial or primary site of disease to another part of the body.",,"Sentences
His own bone marrow was seeded with a metastasis that had migrated from an unknown site somewhere in his body.
Currently there is no inhibitor to arrest metastasis."
Mettle,"Meaning
Strength of spirit or temperament.","Courage
Endurance","Sentences
The competition will test her mettle."
Microcosm,"Meaning
A little world.
A small, representative system having analogies to a larger system.",,"Sentences
The village is a microcosm of the whole country."
Militate,"Meaning
To have a substantial effect; weigh heavily.",,"Sentences
His prison record militated against him."
Minatory,"Meaning
Menacing
Threatening",,"Sentences
The Minataur in the Percy Jackson book series was minatory!"
Minutia,"Meaning
A minute or minor detail.
Petty details.",,"Sentences
Selena just wanted to hear how the date went, but Camila went on with this minutia about the arch of Lauren’s eyebrows.
He was bewildered by the contract’s minutiae."
Misanthrope,"Meaning
One who hates man/mankind.",,
Miscellany,"Meaning
A mixture of various things.
A collection of writings on various subjects.","Potpourri
Menagerie","Sentences
A miscellany of old toys."
Miscreant,"Meaning
One who behaves criminally or viciously.","Villainous
Scoundrel","Sentences
He supports tough penalties against corporate miscreants."
Misogamy,"Meaning
Hatred of marriages.",,
Mollify,"Meaning
To soothe someone.
To reduce the rigidity of something.
To reduce in intensity.","Propitiate
Appease
Assuage
Placate","Sentences
It was not easy to mollify the grieving."
Monocle,"Meaning
A lens for one eye.",,
Mordant,"Meaning
Biting and caustic in thought, manner or style.","Snarky
Sardonic
Scathing
Acrimony","Sentences
Being mordant turns off people.
Ricky Gervais' dry and mordant humour is hilarious!"
Morose,"Meaning
Having a sullen and gloomy disposition.","Bleak
Dreary
Stygian
Saturnine
Lugubrious
Sullen","Sentences
Even as tech optimism is obvious, sentiment in much of the rest of the market remains morose."
Motif,"Meaning
A single or repeated design or colour.
A usually recurring salient thematic element.",,"Sentences
The two works of art share an aesthetic Renaissance motif."
Motley,"Meaning
Variegated in color.
Made up of many different people, parts or things.
A mixture especially of incongruous elements.","Jester
Fool
Eclectic","Sentences
A motley crew of musicians."
Mulct,"Meaning
Taking unjust advantage of someone.","Exploit",
Neologism,"Meaning
A new word, usage or expression.",,"Sentences
It inspired endless debate, countless think pieces and a neologism that instantly penetrated mainstream culture."
Neophyte,"Meaning
Beginner","Tyro
Novice","Sentences
One should never make fun of a neophyte."
Nonplussed,"Meaning
Unsure about what to say, think or do.","Perplexed
Bewildered","Sentences
She was nonplussed for a moment, but her astuteness took over and she gave a perfect reply to win over the judges."
Non sequitur,"Meaning
An inference that does not follow from the premise(s).
A statement/response that does not follow logically from or is not clearly related to anything previously said.",,"Sentences
We were talking about the new restaurant when she threw in some non sequitur about her dog."
Nostrum,"Meaning
A remedy or medicine of doubtful effectiveness.
A medicine of secret composition recommended by its preparer but usually without scientific proof of its effectiveness.",,"Sentences
He was using garlic as a nostrum to prevent disease."
Nugatory,"Meaning
Something of little or no consequence.
Having no force.","Trifling
Inconsequential
Null and void
Invalid","Sentences
The book is entertaining, but its contributions to the Shakespearean scholarship are nugatory."
Obdurate,"Meaning
Stubbornly persistent in wrongdoing.
Resistant to persuasion or softening influences.
Hardened in feelings.","Thick skinned
Callous
Implacable","Sentences
She remained obdurate to them suggesting that she should try snorting cocaine."
Obsequious,"Meaning
Insincerely servile in expectance of reward",,
Obsequy,"Meaning
Funeral ceremony.",,"Sentences
The murder victim’s father was the chief mourner at the obsequies."
Obstreperous,"Meaning
Marked by unruly or aggressive noisiness.
Stubbornly resistant to control.","Strident
Clamorous
Unruly
Untoward
Vociferous","Sentences
A room full of obstreperous children."
Obviate,"Meaning
To anticipate and prevent or make unnecessary.","Forestall
Stave off
Preclude","Sentences
The new medical treatment obviates the need for surgery."
Occlude,"Meaning
Close off, block
Conceal
To come into contact with cusps of the opposing teeth fitting together.","Obstruct","Sentences
A blood clot had occluded a major artery in her body.
Her teeth do not occlude properly."
Occult,"Meaning
Relating to practices connected with supernatural phenomena.
To shut off from view or exposure.
Hidden from view.","Ensconced","Sentences
The Nazi Party actually began as an occult fraternity, before it morphed into a political party."
Ochlocracy,"Meaning
Mob rule.",,"Sentences
More commonly, ochlocracy functions through the legitimate organs of the state or through other entities, such as businesses and professional associations."
Odyssey,"Meaning
A long and adventurous voyage.",,"Sentences
The spiritual odyssey of the deeply religious."
Officious,"Meaning
Volunteering one’s services where they are neither asked nor needed.
Too eager to tell people what to do and having too high an opinion of one’s own importance.","Meddlesome
Presumptuous
Impertinent","Sentences
When we came to the platform on the railway station we were met by the station master, an officious little man with a peaked cap."
Olfactory,"Meaning
Relating to the sense of smell.",,
Oligarchy,"Meaning
A government run by a select few powerful leaders.",,"Sentences
An oligarchy rules their nation."
Onerous,"Meaning
Involving, imposing, or constituting a burden.","Oppressive
Exacting","Sentences
The pandemic proved to an onerous period for a lot of businesses. A lot of them closed down as well.
An onerous contract/regulation/mortgage."
Opine,"Meaning
To express or state opinions.","Weigh in","Sentences
One can opine about any subject they like."
Opprobrium,"Meaning
Something that brings disgrace.
Public disgrace or ill fame that follows from conduct considered grossly wrong or vicious.",,"Sentences
They’re going ahead with the plan despite public opprobrium."
Orwellian,"Meaning
Relating to or suggestive of George Orwell or his writings.
Relating to or suggestive of the dystopian reality depicted in the novel 1984.",,"Sentences
Privacy advocates warn that advances in technology and data collection simply make an Orwellian slippery slope even more slippery.
Some critics view knowledge engineering as a threat, as the vanguard of an Orwellian future in which thinking machines take control."
Osculate,"Meaning
Kiss
To touch at a point where two parts of a curve have a common tangent.",,"Sentences
They osculated."
Ostentatious,"Meaning
Showing off money, power or possessions to seek attention and appreciation.","Flamboyant
Flashy
Meretricious",
Ostracize,"Meaning
Isolation by society.
Being avoided intentionally by someone.","Outcast",
Overweening,"Meaning
Presumptuous
Arrogant","Vainglorious","Sentences
A director has little patience for overweening actors who think they are above taking advice and criticism."
Pagan,"Meaning
Someone who has little or no religion and who delights in sensual pleasures and material goods.
A class of society in the Roman empire.","Hedonism","Sentences
The story was a pagan oral tradition."
Pander,"Meaning
Cater to/appeal to certain people or emotions/desires.",,
Parsimony,"Meaning
The quality of being careful with money or resources.
The quality or state of being stingy.","Thrifty
Penury","Sentences
The charity was surprised by the parsimony of some larger corporations."
Partisanship,"Meaning
A blind adherent to a party, faction, cause or person.",,"Sentences
Astigmatic partisanship, just like astigmatic fanaticism, is deadly.
Everything that a zealot partisan says should be taken with more than just a pinch of salt.
A stalwart is an unwavering partisan."
Pedant,"Meaning
Shows off knowledge.
Unnecessarily corrects petty mistakes.","Fastidious",
Penitentiary,"Meaning
An institution for public offenders.","Bastille
Prison","Sentences
She was given a penitentiary sentence for assault."
Penury,"Meaning
A cramping and oppressive lack of resources.
Extreme and often stingy frugality.","Impoverishment
Destitution
Pecuniary","Sentences
By the World Bank’s estimate, some 800m people in China have escaped penury in the past four decades."
Perfidious,"Meaning
Unfaithful, disloyal
Untrustworthy","Treacherous","Sentences
We were betrayed by a perfidious ally."
Perfunctory,"Meaning
Characterized by routine or superficiality.
Lacking in interest or enthusiasm.","Mechanical
Nonchalant
Uninterested
Casual","Sentences
The eight-time Pro Bowl player sometimes goes several weeks without agreeing to do even the most perfunctory post-game interviews."
Perigee,"Meaning
The point in the orbit of an object (such as a satellite) orbiting the earth that is nearest to the center of the earth.
'Apogee' is the farthest point.",,
Pernicious,"Meaning
Highly injurious or destructive.","Deleterious
Baneful
Detrimental","Sentences
The most pernicious of all the problems was that the league’s new television deal had collapsed and if a replacement could not be found, French domestic soccer was facing ruin."
Perturb,"Meaning
To cause to be worried or upset.
To throw into confusion.","Disconcerting
Agitate
Unsettle","Sentences
The loud music in the party greatly perturbed the elderly couple living in a nearby house."
Pervasive,"Meaning
Existing in or spreading through every part of something.",,"Sentences
If uncontrolled, Cancer can be a pervasive disease.
A pervasive sense of calm."
Pestilence,"Meaning
A contagious or infectious epidemic disease that is virulent and devastating.
Something that is destructive or pernicious.","Plague","Sentences
After years of war and pestilence, few people remained in the city."
Petulant,"Meaning
Insolent or rude in speech or behavior.","Peevish
Grumpy","Sentences
The petulant child was taught a lesson by her parents."
Philatelist,"Meaning
A postage stamp collector.",,
Philology,"Meaning
The study of language.
The science of liguistics.",,
Phlegmatic,"Meaning
Having or showing a slow and stolid temperament.
Unemotional","Stoic
Apathetic","Sentences
His mother was phlegmatic even when his brother was really ill."
Physiognomy,"Meaning
The art of discovering temperament and character from outward appearance.
The facial features held to show qualities of mind or character by their configuration or expression.",,"Sentences
He and his son have the same distinctive physiognomy."
Picayune,"Meaning
Something trivial.","Trifling","Sentences
Our lives don’t amount to a picayune in the great scheme of things.
They argued over the most picayune details."
Pecuniary,"Meaning
Consisting of or measured in money.
Relating to money.",,"Sentences
The judge recused himself from the case because he had a pecuniary interest in the company that was being sued.
They were given pecuniary aid."
Piety,"Meaning
The quality or state of being pious.
A conventional belief or standard.","Devoutness","Sentences
Her piety is quiet but profound."
Piquant,"Meaning
Engagingly provocative.
Agreeably stimulating to the taste (esp: Spicy).","Poignant
pungent","Sentences
He served the fish with a piquant sauce.
The influx of players brought some very piquant problems to light in that department."
Pique,"Meaning
To excite or arouse especially by a provocation, challenge or rebuff.
To arouse anger or resentment in someone.",,"Sentences
Her sly remarks piqued their curiosity.
Teachers should teach in such a way that their subject piques the curiosity of their students."
Pissant,"Meaning
A very stupid or unpleasant person or thing.",,"Sentences
Tony Stark called Scott Lang a pissant for trying to be pessimistic and discourage Steve Rogers and him from doing their task."
Pith,"Meaning
The essential part.
Importance
A usually continuous central strand of spongy tissue in the stems of most vascular plants that probably functions chiefly in storage.","Core
Crux
Essence","Sentences
Finally got to the pith of the discussion.
Use your knife to remove the peel and pith from top to bottom, rotating the citrus as needed."
Placid,"Meaning
Calm","Collected
Composed
Tranquil
Halcyon","Sentences
Black Lake in the movie 'Lake Placid' was anything but Placid. There was a huge crocodile in the lake!"
Plaintiff,"Meaning
The person who files a legal action against someone, ie, the defendant, accusing them of wrongdoings.",,
Plaintive,"Meaning
Expressive of suffering or woe.","Melancholy
Doleful
Mournful","Sentences
The puppy’s plaintive expression after we put the toy away was rather amusing."
Plasticity,"Meaning
Capacity for being molded or altered.","Pliability
Malleability","Sentences
we chose that type of clay for its greater plasticity."
Platitude,"Meaning
The quality or state of being dull or insipid (tasteless/flat).
A banal or stale remark.","Banality","Sentences
His speech was filled with familiar platitudes about the value of hard work and dedication.
“Blondes have more fun” is a silly platitude."
Plumb,"Meaning
A lead weight attached to a line and used to indicate a vertical direction.
Vertical
A line to help in drawing.
To examine deeply.
To determine the depth.
To a complete degree.
Cricket: Very obviously out, usually by Leg Before Wicket.",,"Sentences
He set the board plumb.
I plumb forgot about the party."
Plutocracy,"Meaning
A society ruled by the wealthy.",,"Sentences
If only the wealthy can afford to run for public office, are we more a plutocracy than a democracy?"
Podiatrist,"Meaning
A Doctor who specializes in treating ailments of human feet.","Chiropodist",
Polyglot,"Meaning
One who can speak many languages.",,
Portent,"Meaning
Foreshadowing an event.","Foreboding
Omen
Presage
Augury","Sentences
Baldeo from Tiger In The Tunnel wrapping a shawl around himself to keep warm was portent of his death, as if a shroud was being wrapped around him."
Poseur,"Meaning
A person who affects an attitude to impress others.",,"Sentences
People should realise that poseurs are cringe."
Posit,"Meaning
To affirm the existence of something.
To propose as an explanation.",,"Sentences
'Flat Earthers' always ludicrously posit that the Earth is flat."
Prate,"Meaning
To talk long and idly.","Chatter
Babble
Prattle","Sentences
The young executive gratingly prated on about his weekend hobnobbing with the rich."
Prattle,"Meaning
Trifling or empty talk.
To utter or make meaningless sounds suggestive of the chatter of children.","Babble
Prate","Sentences
They prattled on into the night, discussing school, music and friends."
Precept,"Meaning
Principle or law",,"Sentences
She would offer another precept for climate-resilient architecture."
Preclude,"Meaning
Rule out in advance.","Obviate
Forestall
Stave off","Sentences
Child-care issues can preclude them from working."
Precocious,"Meaning
Exceptionally early in development or occurrence.
Exhibiting mature qualities at an unusually early age.","Premature","Sentences
Akim Camara, a precocious three year old, played a violin at André Rieu’s concert,"
Preeminent,"Meaning
Having paramount rank, dignity or importance.",,"Sentences
The poem is a preeminent example of her work."
Preempt,"Meaning
Take for oneself.
To gain a commanding place.","Usurp","Sentences
The state law was preempted by a federal law.
The movement was then preempted by a lunatic fringe."
Prehensile,"Meaning
Gifted with mental grasp or moral or aesthetic perception.
Adapted for seizing or grasping especially by wrapping around.",,"Sentences
The monkey has a prehensile tail.
The elephant has a prehensile trunk."
Presage,"Meaning
Foretell or foreshadow an event.
An intuition or feeling of what is going to happen in the future.
A warning or indication of the future.","Foretell
Predict
Portent
Augury","Sentences
Paul the Psychic Octopus presaged the Football World Cup Winner."
Presumptuous,"Meaning
Overstepping due bounds, ie, taking liberties.","Presuming
Bold
Officious","Sentences
The Secretary called the Chairwoman to run the decision through her, so that it would later not be deemed presumptuous."
Prevaricate,"Meaning
To deviate from the truth.","Lie
Fib","Sentences
Government officials prevaricated about the real costs of the project."
Primordial,"Meaning
Persisting from the beginning.
Earliest formed in the growth.
Fundamental","Ancient
Primeval
Primitive","Sentences
The Perseverance rover will look for traces of organic matter on Mars, which could be evidence of primordial microbes."
Probity,"Meaning
Adherence to the highest principles and ideals.","Honesty
Integrity
Uprightness
Righteousness","Sentences
The defense attorney questioned the probity of the witness."
Proclivity,"Meaning
An inclination or predisposition toward something.
A strong inherent inclination toward something objectionable.","Penchant
Propensity","Sentences
Professor McGonagall told Neville, “Why don’t you confer with Mr. Finnegan? As I recall, he has a particular proclivity for pyrotechnics.”"
Prodigal,"Meaning
Characterized by profuse or wasteful expenditure.","Squanderer
Extravagant
Unthrifty","Sentences
The Prodigal son’s return was celebrated by his father as a return from the dead."
Proliferate,"Meaning
Rapid growth.","Burgeon (alt: Bourgeon)","Sentences
The proliferation of the virus in the human body can be deadly."
Propensity,"Meaning
A natural inclination or preference.","Tendency
Proneness
Proclivity","Sentences
His propensity towards Whiskey over Vodka is astonishing!"
Propitiate,"Meaning
To gain or regain the favor or goodwill.","Mollify
Appease
Placate","Sentences
Political parties pander to and propitiate certain sections of society to get their votes."
Proponent,"Meaning
Someone who argues in favour of something.","Advocate","Sentences
Selena is a vocal proponent of mental health."
Proprietary,"Meaning
One that possesses, owns, or holds exclusive right to something.
Something that is used, produced, or marketed under exclusive legal right of the inventor or maker.
Do not confuse 'proprietary' with 'propriety'.",,"Sentences
It is illegal to distribute pirated copies of proprietary software."
Propriety,"Meaning
The quality or state of being proper or suitable.
Conformity to what is socially acceptable in conduct or speech.
Do not confuse 'propriety' with 'proprietary'.","Decorum","Sentences
Lauren felt annoyed by the dissenters, but her prim sense of political propriety forbade her from stooping to personal attacks."
Proscribe,"Meaning
To condemn or forbid as harmful or unlawful.","Outlaw
Prohibit","Sentences
Transgressions into the property were proscribed by law with a two year penitentiary sentence."
Protégé,"Meaning
One who is protected or trained or whose career is furthered by a person of experience, prominence or influence.",,"Sentences
She was a protégé of the great composer."
Provident,"Meaning
Frugal, saving.
Making provision for the future.","Prudent
Thrifty","Sentences
It is possible to be provident without living ascetically."
Prudent,"Meaning
Shrewd
Careful
Avoiding risks
Cautious","Provident",
Puerile,"Meaning
Silly, immature or childish behaviour.",,
Pugnacious,"Meaning
Having a quarrelsome or combative nature.","Truculent","Sentences
Ravichandran Ashwin is pugnacious on the Cricket field."
Puissant,"Meaning
Powerful","Potent","Sentences
Harish Salve is one of India’s most respected and puissant advocates."
Punctilious,"Meaning
Someone who is mindful of being in accordance with codes or conventions.",,"Sentences
Harsh is very punctilious and fastidious about his grammar."
Punitive,"Meaning
Inflicting, involving or aiming at punishment.","Chastising
Disciplinary","Sentences
Punitive action needs to ba taken against those who do not follow the COVID rules."
Purblind,"Meaning
Partially blind
Lacking vision, insight or understanding.","Obtuse","Sentences
They were too purblind to head the company."
Puritanical,"Meaning
Not believing in pleasure, but only in working hard and practising self-discipline.","Ascetic",
Purport,"Meaning
To have the often specious appearance of being, intending or claiming.
To profess, claim",,"Sentences
She purports to be very honest about her finances, but the Income Tax department had a different story to tell."
Pusillanimous,"Meaning
Lacking courage and resolution.","Cowardly
Dastardly
Recreant","Sentences
Pusillanimous people don’t stand up to the odds."
Putative,"Meaning
Generally assumed to be true, even though it might not be.",,"Sentences
The putative leader of the mafia was arrested."
Quagmire,"Meaning
A difficult, precarious or entrapping position.
Soft miry land that shakes or yields under the foot.","Predicament
Impasse
Dilemma
Pickle
Swamp
Marsh","Sentences
Securing adequate international health insurance, for example, became a bureaucratic quagmire."
Quail,"Meaning
To recoil in dread or terror.
To give way.
A bird.","Falter
Cower","Sentences
Other politicians quailed before her."
Qualm,"Meaning
A feeling of uneasiness about a point especially of conscience or propriety.
A sudden feeling of usually disturbing emotion (such as doubt or fear).
A sudden attack of illness, faintness, or nausea.","Misgiving
Scruple
Compunction
Demur
Compunction","Sentences
He had qualms about accepting the offer."
Quiescent,"Meaning
Marked by inactivity or repose.","Silent
Dormant
Latent
Torpor","Sentences
We saw a group of quiescent loungers recovering from the Thanksgiving feast."
Quintessential,"Meaning
The perfect or typical representative for a particular kind of person or thing.","Archetype","Sentences
She was the quintessential intellectual, remarkably detached from the real world."
Radical,"Meaning
An extreme liberal.",,
Rapturous,"Meaning
An expression or manifestation of ecstasy or passion.
A state or experience of being carried away by overwhelming emotion.","Elatedness
Euphoria
Swoon
Enthrall
Ecstasy","Sentences
We listened with rapture as the orchestra played."
Ratchet,"Meaning
To cause to move by steps or degrees.
Slang term that can mean 'exciting' or 'excellent,' often used as a term of empowerment among women.
An insult characterizing a woman as being overdramatic or promiscuous.",,"Sentences
I’m so stuck between feeling ratchet and feeling classy. I’m experiencing real life duality.
Not to be outdone, Megan Thee Stallion and Cardi B gave us Vegas-worthy performances that were truly classy, bougie and ratchet, in all the best ways possible.
She tried to ratchet down the debt."
Rationalize,"Meaning
Justifying a wrong or selfish act.",,
Recant,"Meaning
To withdraw or repudiate a statement or belief formally and publicly.","Revoke
Renounce
Renege","Sentences
She had to recant her words after their loss."
Recondite,"Meaning
Difficult or impossible for one of ordinary understanding or knowledge to comprehend.
Relating to or dealing with something little known or obscure.","Profound
Arcane (little known)","Sentences
His research work was a recondite piece of work, which only experienced people could understand."
Recreant,"Meaning
Crying for mercy.
Coward","Dastardly
Pusillanimous
Deserter
Defector","Sentences
The victors had only contempt for the recreant enemy soldiers who surrendered without firing a shot."
Recuse,"Meaning
To disqualify (oneself) as judge in a particular case to avoid a conflict of interest.",,"Sentences
The judge recused himself from the case because he had a pecuniary interest in the company that was being sued."
Redoubtable,"Meaning
Causing fear or alarm.
Illustrious","Formidable","Sentences
Rohit Sharma is a redoubtable batsman."
Refractory,"Meaning
Resisting control or authority.
Unresponsive to stimulus.
Resistant to treatment or cure.","Stubborn
Immune","Sentences
One vaccine shot does not make one refractory to the virus."
Refulgent,"Meaning
A radiant or resplendent quality or state.","Splendor
Candor","Sentences
The refulgence of a full moon on a clear autumn night."
Regale,"Meaning
To entertain.",,"Sentences
Laidback Luke regaled us with tales of his time DJing at various clubs."
Relegate,"Meaning
To assign something to someone.
To send into exile.","Consign
Entrust","Sentences
The bill has been relegated to the committee for discussion.
The leader relegated the work to her teammates."
Remonstrate,"Meaning
Protest
To present and urge reasons in opposition.",,"Sentences
The bully vehemently remonstrated with the teacher to not suspend her."
Renege,"Meaning
To go back on a promise or commitment.","Cop out
Recant","Sentences
My so-called best friend promised to help me move, only to renege come Saturday morning."
Repertoire,"Meaning
A stack of expertise that can be offered.
A list of dramas or music pieces that can be performed by a person or a group.",,
Reprobate,"Meaning
An unprincipled or depraved person.
Morally corrupt.","Dissolute
Fiend
Miscreant
Scoundrel
Wretch","Sentences
Reprobate judges were dismissed by the President."
Repudiate,"Meaning
Refuse to accept.
Reject as untrue or unjust.","Disavow
Disown
Disclaim","Sentences
The offender repudiated the plainclothes policeman’s authenticity."
Reticent,"Meaning
Inclined to be silent or uncommunicative in speech.
Restrained in expression, presentation, or appearance.","Taciturn","Sentences
Her media team advised her to be reticent on certain political matters."
Repine,"Meaning
To feel or express dejection or discontent.","Complain","Sentences
There is no use repining over yesterday’s blunders. Learn form them and move on. Try to make today better."
Reprisal,"Meaning
A retaliatory act.
Something (such as a sum of money) given or paid to compensate or to get back to the previous state.
The regaining of something.","Remuneration
Recompense","Sentences
The allies threatened economic reprisals against the invading country.
The rhetoric has only grown more heated since, with reports that some sort of reprisal may come in the next three weeks for the employees."
Reprise,"Meaning
A musical repetition.
A recurrence, renewal, or resumption of an action.","Recapitulate","Sentences
The last song was a faster tempo reprise of the first song."
Riposte,"Meaning
A retaliatory maneuver, measure or verbal response.","Retort","Sentences
He’s known for having a brilliant riposte to nearly any insult.
India’s surgical strikes were a riposte to terrorism."
Rococo,"Meaning
Excessively ornate or intricate.",,"Sentences
The arches of the Church were built in a rococo style."
Rubric,"Meaning
An established rule or guideline.
Title",,"Sentences
The rubrics at the beginning of the chapters are intended to be humorous.
The assignment rubric gave a lot of freedom to students to come up with innovative solutions."
Rue,"Meaning
Regret","Repent
Lament
Bemoan
Penitence","Sentences
Camila ruefully left Lauren with a heavy heart as she had to get to her performance area."
Rusticate,"Meaning
Expel from a school or college.
To go to the countryside.",,"Sentences
Shannon’s bad behaviour got her rusticated from the college.
The Kjellberg’s rusticate to the country in the Summer."
Salacious,"Meaning
Arousing or appealing to sexual desire or imagination.","Lascivious
Lewd
Lustful
Wanton","Sentences
Eroticas are almost always successful in generating salacious responses from readers."
Salubrious,"Meaning
Favorable to or promoting health or well-being.","Salutary
Salutiferous","Sentences
Some of Akshay Kumar’s movies take up salubrious causes."
Salutary,"Meaning
Producing a beneficial effect.
Promoting health.
Do not confuse 'salutary' with 'statutory'.","Salubrious
Benignant","Sentences
The accident should be a salutary lesson to be more careful.
Being a good person is salutary for oneself."
Sanguine,"Meaning
Confidently optimistic.
Marked by eager hopefulness.
Consisting of or relating to blood.","Bloodred
Bloodthirsty
Murderous
Homicidal","Sentences
He has been strangely sanguine about this, blandly ignoring the mounting evidence.
They were attacked by the sanguine warriors of neighboring islands.
Some sanguine vessels are obstructed and distended."
Saturnine,"Meaning
Someone of a gloomy or surly disposition.
Having a sardonic aspect.","Stygian
Morose
Lugubrious","Sentences
The men awaiting interrogation by the police shared a saturnine silence."
Sardonic,"Meaning
Cynical, scornful mocking.","Mordant
Caustic","Sentences
She surveyed the scene of destruction with a sardonic smile on her face. It was feeding her jingoistic side."
Sartorial,"Meaning
Relating to a tailor or tailored clothes.",,"Sentences
The wedding party arrived in sartorial splendor."
